"row","filename","title","author","year","page_number","image_url","license"
"80","080_bsb11034287_20_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 2, Uebersicht des Waaren-Einganges auf dem Rhein und der Mosel : für das Jahr ... / 1859","Deutscher Zollverein","1859","20 (0020)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034287_00020/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"81","081_bsb11507403_37_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1895, 1. Jan. - 31. Dez.",,"1895","35 (0037)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507403_00037/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"82","082_bsb11039513_304_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 17. 1871",,"1871","(0304)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11039513_00304/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"83","083_bsb10624158_78_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 8, Haupt-Uebersicht des Gesammt-Handels des Zoll-Vereins und der einzelnen Zoll-Vereins-Staaten : für das Jahr ... / 1865","Deutscher Zollverein","1865","6 (0078)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10624158_00078/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"84","084_bsb11508046_26_conf_1.00.png","Beiträge zur Statistik des Rigaschen Handels. 2. Abtheilung, Rigas Handelsverkehr auf den Eisenbahnen / 1890 (1892)",,"1892","12 (0026)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11508046_00026/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"85","085_bsb11328180_103_conf_1.00.png","Nachrichten über Industrie, Handel und Verkehr aus dem Statistischen Departement im K.K. Handelsministerium / 8. 1875 (1876), H. 3","Österreich, Handelsministerium","1876","87 (0103)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11328180_00103/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"86","086_bsb10388945_21_conf_1.00.png","Annales des travaux des sociétés de statistique établies en France et à l'étranger / 6. 1830","Société Française de Statistique Universelle","1830","21 (0021)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388945_00021/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"87","087_bsb11507317_40_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1888, 1. Jan. - 31. Okt.",,"1888","38 (0040)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507317_00040/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"88","088_bsb11576996_164_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 42 = N.F., Bd. 8. 1884",,"1884","154 (0164)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11576996_00164/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"89","089_bsb11034285_15_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1857","Deutscher Zollverein","1857","15 (0015)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034285_00015/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
